Participant,Nationality,Gender,ID_advert,Description_advert,Fig_complexity,Saliency_interpr,Effectiveness,Reaction,Number_int
27,1,2,10,Boddingtons,5,3,2,947,2
27,1,2,11,Duracell,3,3,1,545,3
27,1,2,12,EDF,5,3,0,4000,1
27,1,2,13,Heinz,4,3,2,2595,1
27,1,2,14,Fur,4,3,3,568,1
27,1,2,15,Smoking,4,3,3,1789,1
27,1,2,16,IBM,5,N/A,0,4000,3
27,1,2,17,Lego,3,3,3,919,1
27,1,2,18,Nivea,5,N/A,0,4000,1
27,1,2,19,Eau de toilette,4,1,1,4000,1
27,1,2,20,Saab,4,3,2,4000,1
27,1,2,21,Schweppes,2,2,1,4000,1
27,1,2,22,Sprite,4,3,2,4000,1
27,1,2,23,Deforestation WWF,3,3,3,3855,1
27,1,2,24,Voltaren,4,3,3,4000,1
27,1,2,25,Wifi,3,3,3,4000,0
27,1,2,26,Windows,4,3,2,4000,1
28,2,1,1,Wilderness,1,3,2,4000,1
28,2,1,2,Oreo,4,2,2,4000,4
28,2,1,3,Snake WWF,2,3,3,4000,0
28,2,1,4,Nike,4,3,2,4000,1
28,2,1,5,Chinese forests,4,3,2,4000,1
28,2,1,6,7UP,4,3,3,4000,1
28,2,1,7,Arizona,1,3,2,4000,3
28,2,1,8,Audi love,5,1,2,4000,2
28,2,1,9,Audi attractive,5,3,1,4000,1
28,2,1,10,Boddingtons,5,1,2,4000,1
28,2,1,11,Duracell,3,3,2,4000,1
28,2,1,12,EDF,5,3,3,4000,0
28,2,1,13,Heinz,4,2,2,4000,2
28,2,1,14,Fur,4,1,1,4000,1
28,2,1,15,Smoking,4,3,2,4000,1
28,2,1,16,IBM,5,1,2,4000,1
28,2,1,17,Lego,3,3,1,4000,1
28,2,1,18,Nivea,5,2,2,4000,1
28,2,1,19,Eau de toilette,4,2,2,4000,1
28,2,1,20,Saab,4,3,2,4000,0
28,2,1,21,Schweppes,2,2,2,4000,1
28,2,1,22,Sprite,4,3,3,3822,1
28,2,1,23,Deforestation WWF,3,3,3,4000,1
28,2,1,24,Voltaren,4,1,1,4000,1
28,2,1,25,Wifi,3,3,1,4000,2
28,2,1,26,Windows,4,2,2,4000,1
29,3,2,1,Wilderness,1,3,3,4000,3
29,3,2,2,Oreo,4,2,2,4000,5
29,3,2,3,Snake WWF,2,3,3,4000,3
29,3,2,4,Nike,4,3,2,4000,1
29,3,2,5,Chinese forests,4,2,1,4000,2
29,3,2,6,7UP,4,3,3,4000,5
29,3,2,7,Arizona,1,2,3,4000,3
29,3,2,8,Audi love,5,3,2,4000,3
29,3,2,9,Audi attractive,5,2,0,4000,2
29,3,2,10,Boddingtons,5,3,2,4000,1
29,3,2,11,Duracell,3,3,2,4000,2
29,3,2,12,EDF,5,3,3,4000,5
29,3,2,13,Heinz,4,3,3,4000,3
29,3,2,14,Fur,4,3,2,4000,1
29,3,2,15,Smoking,4,3,3,4000,3
29,3,2,16,IBM,5,3,1,4000,3
29,3,2,17,Lego,3,3,2,4000,3
29,3,2,18,Nivea,5,2,1,4000,3
29,3,2,19,Eau de toilette,4,3,2,4000,4
29,3,2,20,Saab,4,3,3,4000,4
29,3,2,21,Schweppes,2,2,2,4000,3
29,3,2,22,Sprite,4,3,2,4000,4
29,3,2,23,Deforestation WWF,3,3,3,4000,2
29,3,2,24,Voltaren,4,3,2,4000,2
29,3,2,25,Wifi,3,3,2,4000,2
29,3,2,26,Windows,4,3,2,4000,3
30,3,1,1,Wilderness,1,3,2,1397,2
30,3,1,2,Oreo,4,1,2,1712,5
30,3,1,3,Snake WWF,2,3,3,2060,2
30,3,1,4,Nike,4,3,3,2679,1
30,3,1,5,Chinese forests,4,3,1,2518,3
30,3,1,6,7UP,4,3,3,2007,3
30,3,1,7,Arizona,1,2,2,1897,3
30,3,1,8,Audi love,5,2,3,2226,2
30,3,1,9,Audi attractive,5,3,1,2593,3
30,3,1,10,Boddingtons,5,3,1,2370,1
30,3,1,11,Duracell,3,2,2,1225,3
30,3,1,12,EDF,5,3,2,2260,3
30,3,1,13,Heinz,4,3,3,1920,2
30,3,1,14,Fur,4,3,3,2193,1
30,3,1,15,Smoking,4,3,3,3059,3
30,3,1,16,IBM,5,1,1,3063,2
30,3,1,17,Lego,3,3,2,1365,2
30,3,1,18,Nivea,5,2,1,2897,4
30,3,1,19,Eau de toilette,4,3,0,2525,3
30,3,1,20,Saab,4,3,3,1984,2
30,3,1,21,Schweppes,2,1,2,2865,1
30,3,1,22,Sprite,4,3,3,1909,3
30,3,1,23,Deforestation WWF,3,3,3,2055,1
30,3,1,24,Voltaren,4,2,2,2081,1
30,3,1,25,Wifi,3,3,2,3282,2
30,3,1,26,Windows,4,3,1,3980,5
