number,Product ,Subproduct ,Complexity,Figurative operation,Realisation,METONYMY count,METAPHOR count,FIGURATIVENESS count,Figurative interaction,product target,mode target,mode source,Main image 
148,Service,tangible,Complex,Metaphtonymy,DIAMON IS PEARL + DIAMOND FOR ENGAGEMENT,1,1,2,complex: integration,no,verbopictorial,visual,Yes
150,Service,tangible,Complex,Metaphtonymy,CANDY IS SPIDER + CANDY FOR SUGAR + SPIDER FOR POISON,2,1,3,complex: integration,no,verbopictorial,verbopictorial,No
152,Service,intangible,Complex,Metaphtonymy,"ONOMATOPOEIA 1, 2, 3 FOR NOISE IS COVER",2,1,3,complex: integration,no,verbal,verbopictorial,Yes
154,Service,intangible,Complex,Metaphtonymy,"SCENARIO 1 (TECNOLOGY) IS SCENARIO 2 (LITTLE RED HOOD TALE) + wolf for evil, little red hood for victim, hunter for saviour ",3,1,4,complex: integration,yes,verbal,visual,No
159,Service,intangible,Complex,Metaphtonymy,DIOCESE IS MOBILE PHONE + GOD & BELIEVER FOR DIOCESE + SPEAKER &LISTENER FOR MOBILE PHONE,2,1,3,complex: integration,yes,verbopictorial,verbal,Yes
162,Service,intangible,Complex,Metaphtonymy,(COMPANY FOR) COMMUNICATING IS GUIDING,1,1,2,complex: integration,yes,verbal,visual,Yes
162,Service,intangible,Complex,Metaphtonymy,(NEWS FOR) COMPANY IS (FLOORS FOR) BUILDING,2,1,3,complex: integration,yes,verbal,visual,Yes
162,Service,intangible,Complex,Metaphtonymy,PEOPLE ARE BUILDINGS + PEOPLE FOR BOSS + BUILDING FOR TOP FLOOR,2,1,3,complex: integration,no,visual,visual,Yes
163,Service,intangible,Complex,Metaphtonymy,(SKYPE FOR) INTERNET IS PURSE,1,1,2,complex: integration,no,verbopictorial,visual,Yes
166,Service,intangible,Complex,Metaphtonymy,KNOWING IS SEEING + ARROW FOR GOOGLE MAPS,1,1,2,complex: integration,yes,verbal,visual,Yes
167,Service,intangible,Complex,Metaphtonymy,BUSINESS (FOR BARCLAYS) IS CAVIAR (FOR CHEF),2,1,3,complex: integration,yes,verbal,visual,Yes
170,Service,intangible,Complex,Metaphtonymy,(HAMMER FOR) JOB IS JAIL ,1,1,2,complex: integration,no,visual,visual,Yes
171,Service,intangible,Complex,Metaphtonymy,"(ONOMATOPOEIA FOR) STUTTER IS (HELP, BEACH FOR) SHIPWRECKED ",2,1,3,complex: integration,yes,verbal,visual,No
174,Service,intangible,Complex,Metaphtonymy,(HAT FOR EDUCATION & HAT FOR JOB FOR) CAREER DEVELOPMENT IS (STEPS FOR) A  JOURNEY,4,1,5,complex: integration,yes,verbopictorial,visual,?
177,Service,intangible,Complex,Metaphtonymy,"(SHAKESPEARE, HAMLET FOR) ENGLISH LANGUAGE IS A PERSON",2,1,3,complex: integration,yes,verbopictorial,verbopictorial,No
182,NGO,NGO,Complex,Metaphtonymy,CROSS  IS KANJI + CROSS FOR DEATH + KANJI FOR CHINA,2,1,3,complex: integration,yes,visual,visual,Yes
182,NGO,NGO,Complex,Metaphtonymy,DEATH IS DOWN + CROSS FOR DEATH,1,1,2,complex: integration,yes,visual,visual,Yes
183,NGO,NGO,Complex,Metaphtonymy,GRAVEYARD IS CITY + TOMB FOR GRAVEYARD + HOUSE FOR CITY,2,1,3,complex: integration,yes,verbopictorial,verbopictorial,No
184,NGO,NGO,Complex,Metaphtonymy,(KENYA & LACK OF WATER FOR) PERSON IN NEED IS (SUNGLASSES & POSING & PRICE FOR) TOP MODEL ,5,1,6,complex: integration,yes,verbopictorial,verbopictorial,No
185,NGO,NGO,Complex,Metaphtonymy,"(MOBILE, CAMERA, RECORDER FOR) INFORMATION FOR ARGUMENT IS (GUN, AMMUNITION FOR) WAR ",6,1,7,complex: integration,yes,verbopictorial,verbopictorial,Yes
188,NGO,NGO,Complex,Metaphtonymy,WOMAN IS (PARTS FOR) RAW MEAT,1,1,2,complex: integration,no,visual,verbal,Yes
193,NGO,NGO,Complex,Metaphtonymy,CHIMNEYS ARE CANYONS + CHIMNEY FOR SMOKE + CANYONS FOR BULLETS,2,1,3,complex: integration,no,visual,visual,Yes
195,NGO,NGO,Complex,Metaphtonymy,CLOTHING IS FOOD + MOTH FOR CLOTHING (EATER) + PEOPLE FOR (FOOD) EATER,2,1,3,complex: integration,no,verbopictorial,verbopictorial,Yes
197,NGO,NGO,Complex,Metaphtonymy,WOMAN IS (PARTS FOR) RAW MEAT,1,1,2,complex: integration,yes,verbopictorial,verbopictorial,Yes
198,NGO,NGO,Complex,Metaphtonymy,ROAD HEIGHT IS (MICK JAGGER FOR HIGH & XXX SINGER FOR LOW FOR) NOISE PITCH ,2,1,3,complex: integration,yes,verbopictorial,verbopictorial,Yes
199,NGO,NGO,Complex,Metaphtonymy,(FEMALE SMOKER FOR) SMOKERS ARE (HOOK FOR) FISH,2,1,3,complex: integration,yes,verbal,verbopictorial,Yes
200,NGO,NGO,Complex,Metaphtonymy,BABY GIRL (FOR CHILDREN) IS BABY TIGER (FOR BABY ANIMALS),2,1,3,complex: integration,yes,visual,verbopictorial,No
202,NGO,NGO,Complex,Metaphtonymy,(PETROL FOR) SHIP IS (OLIVE OIL) FOR CAN,2,1,3,complex: integration,yes,verbal,visual,Yes
203,NGO,NGO,Complex,Metaphtonymy,(CUT TRUNK FOR TREE FOR) PLANTS ARE( BEHEADED) PEOPLE,1,1,2,complex: integration,yes,verbopictorial,verbopictorial,Yes
204,NGO,NGO,Complex,Metaphtonymy,TRANGENIC FOOD IS SCORPION + EFFECT FOR CAUSE (FERTILIZER CAUSES DEAD AND POISON CAUSES DEATH),1,1,2,complex: integration,yes,verbopictorial,visual,Yes
208,NGO,NGO,Complex,Metaphtonymy,(EAGLE FOR) ANIMALS ARE (MAN FOR) PEOPLE,2,1,3,complex: integration,yes,verbopictorial,verbopictorial,?
210,NGO,NGO,Complex,Metaphtonymy,BEAR IS (WAX& FIRE FOR) CANDLE,2,1,3,complex: integration,yes,visual,visual,Yes
12,Good,convenience,Complex,Metaphtonymy ,M&M IS GREEN FOR NATURE FOR ECOLOGIST,2,1,3,complex: integration,yes,visual,visual,Yes
13,Good,convenience,Complex,Metaphtonymy ,CREAM IS GENIUS + GENIUS FOR MAGIC,1,1,2,complex: integration,yes,visual,visual,Yes
13,Good,convenience,Complex,Metaphtonymy ,INNER PAIN  IS OUTER PAIN + BURNING MATCHES FOR FIRE FOR HEAT,2,1,3,complex: integration,no,visual,visual,Yes
29,Good,convenience,Metaphtonymy ,Metaphtonymy ,INNER PAIN  IS OUTER PAIN + KNIFE FOR CUTING FOR OUTER PAIN,2,1,3,complex: integration,no,verbal,visual,Yes
42,Good,shopping,Complex,Metaphtonymy ,INTENSE EMOTIONS (buying car?) ARE HEAT = CAR IS BLOOD CELL + BLOOD CELL FOR BLOOD PRESSURE FOR INTENSE EMOTION,2,1,3,complex: integration,yes,visual,visual,No
53,Good,shopping,Complex,Metaphtonymy ,HUMANS ARE MACHINES + PAUSE BUTTON FOR STOP FOR ANTIAGEING,2,1,3,complex: integration,no,visual,visual,Yes
70,Good,specialty,Complex,Metaphtonymy ,FOOD IS JEWELRY + PEAS FOR FOOD + PEARL FOR JEWELRY,2,1,3,complex: integration,no,verbopictorial,visual,Yes
78,Good,specialty,Complex,Metaphtonymy ,"TOMATO IS MERCEDES BENZ + MB FOR EXPENSIVE, EXCLUSIVE, ELLITE + TOMATO FOR FOOD FOR SUPERMARKET",3,1,4,complex: integration,yes,verbopictorial,visual,Yes
80,Good,specialty,Complex,Metaphtonymy ,WATCH IS PATCH + PATCH FOR PIRATE FOR SEA LIFE,2,1,3,complex: integration,yes,visual,verbopictorial,Yes
88,Good,specialty,Complex,Metaphtonymy ,DIAMOND IS BATE + DIAMOND FOR ENGAGEMENT FOR MARRIAGE + BATE FOR TRAP FOR DEATH. Implication: WOMAN IS A RAT?,4,1,5,complex: integration,yes,verbopictorial,visual,Yes
112,Good,unsought,Complex,Metaphtonymy ,HEADPHONE IS LIVE MUSIC + SEAT PLAN FOR THEATER FOR LIVE MUSIC,2,1,3,complex: integration,yes,visual,visual,Yes
115,Good,unsought,Complex,Metaphtonymy ,IDEAS ARE ANIMALS + PAPER FOR ENCYCLOPEDIA FOR IDEAS + FISH FOR ANIMALS,3,1,4,complex: integration,no,verbopictorial,visual,Yes
120,Good,unsought,Complex,Metaphtonymy ,LOCATIONS ARE POSSESSIONS + MOBILE FOR APP FOR CAR LOCATION,2,1,3,complex: integration,no,verbopictorial,visual,?
123,Service,tangible,Complex,Metaphtonymy ,MOBILE IS A CONTAINER + PILLS FOR PRESCRIPTION FOR APP,2,1,3,complex: integration,no,verbopictorial,visual,Yes
125,Service,tangible,Complex,Metaphtonymy ,CAT IS MAHARANI + HEAD FOR CAT FOR PETS + BODY FOR MAHARANI FOR LUXURY,4,1,5,complex: integration,yes,verbal,visual,?
133,Service,tangible,Complex,Metaphtonymy ,CHANGE IS MOTION + GREEN FOR NATURE FOR NATURE FRIENDLY,2,1,3,complex: integration,no,verbopictorial,verbopictorial,Yes
138,Service,tangible,Complex,Metaphtonymy ,COMPANY (FOR DIRTY BATHROOM) IS CSI (NUMBERS FOR CRIME SCENE),2,1,3,complex: integration,yes,verbopictorial,visual,No
143,Service,tangible,Metaphtonymy ,Metaphtonymy ,INTELLECTUAL ACTIVITY IS WAR + PEN FOR JOURNALIST FOR COMMUNICATION + GUN FOR SOLDIER FOR ARMY,4,1,5,complex: integration,yes,verbopictorial,verbopictorial,Yes
147,Service,tangible,Complex,Metaphtonymy ,DOG IS PERSON + TEETH FOR DOG FOR COMPANY + DENTURE FOR (OLD) PERSON FOR RETIREMENT HOUSE,4,1,5,complex: integration,yes,visual,verbopictorial,Yes
155,Service,intangible,Complex,Metaphtonymy ,SAFE CASE IS A MOBILE APP + MOBILE APP FOR NOTIFICATION,1,1,2,complex: integration,yes,verbopictorial,visual,Yes
156,Service,intangible,Complex,Metaphtonymy ,BALD WOMAN IS GIOCONDA + TUMOR FOR HAIR LOSS FOR BALD WOMAN  + GIOCONDA FOR ART,3,1,4,complex: integration,no,verbal,visual,No
168,Service,intangible,Complex,Metaphtonymy ,READING IN IPAD IS EXPLORING A LANDSCAPE + FINGERPRINTS FOR SWIPING FOR READING + FOOTSTEPS FOR WALKING FOR EXPLORING,4,1,5,complex: integration,yes,verbopictorial,verbopictorial,Yes
186,NGO,NGO,Complex,Metaphtonymy , (BABY FOR PEOPLE FOR FUTURE) PEOPLE ARE (PIGLET FOR ANIMALS FOR EARTHLY GOODS) ANIMALS,4,1,5,complex: integration,yes,verbopictorial,verbopictorial,No
187,NGO,NGO,Complex,Metaphtonymy ,SIGNATURE IS BULLET + SIGNATURE FOR ARGUMENT + BULLET FOR GUN FOR WAR,3,1,4,complex: integration,yes,verbopictorial,verbopictorial,Yes
190,NGO,NGO,Complex,Metaphtonymy ,(TRUNK FOR TREE FOR) PLANTS ARE (FETUS FOR WOMB FOR WOMAN FOR) PEOPLE,5,1,6,complex: integration,yes,verbopictorial,verbopictorial,Yes
191,NGO,NGO,Complex,Metaphtonymy ,(FOX FOR ENDANGERED SPECIES FOR) ANIMALS ARE (SKIN FOR LUXURIOUS GARMENT FOR FASHION VICITIM FOR) PEOPLE,5,1,6,complex: integration,yes,verbopictorial,visual,Yes
192,NGO,NGO,Complex,Metaphtonymy ,WORD (FOR PERSON FOR DEBATE) IS BULLET (FOR GUN FOR WAR),4,1,5,complex: integration,yes,verbopictorial,verbopictorial,Yes
206,NGO,NGO,Complex,Metaphtonymy ,BELT (FOR LEATHER CLOTHING) IS SNAKE (FOR SLAUGHTERED ANIMALS),2,1,3,complex: integration,yes,visual,verbopictorial,?
